repo_name,openedx_yaml.oep-2,ownership.theme,ownership.squad,travis_yml.python_versions
openedx/edx-cookiecutters,,,,[]
openedx/didkit-python,,,,[]
openedx/frontend-app-profile,,,,[]
openedx/xblock-lti-consumer,,,,[]
openedx/frontend-app-gradebook,,,,[]
openedx/xqueue-watcher,,,,[]
openedx/help-tokens,,,,[]
openedx/openedx-backstage,,,,[]
openedx/xblock-google-drive,,,,[]
openedx/frontend-component-header,,,,[]
openedx/frontend-dev-utils,,,,[]
openedx/django-user-tasks,,,,[]
